[NÚMERO DE SERIES]
7

[NÚMERO DE REGISTROS]
16802

[VALOR DE DATOS FALTANTES]
-9999

[COORDENADAS X]
711505.202714 743514.182235 743452.700708 713949.957734 712890.563892 740998.343372 736963.676353

[COORDENADAS Y]
9675403.21389 9702309.26183 9704336.42371 9685345.21764 9682859.7167 9702845.20844 9702775.18491

[COORDENADAS Z]
2966.0 2894.0 2957.0 3021.0 2826.0 2810.0 2953.0

[MATRIZ DE DATOS]
Año Mes Día  SUSTAG CEBOLLAR Llaucay Nudpud TIXAN Uchucupun Zhindilig
1980 3 26 10514.9 79776.2 3888 3888 50379.5 6912 2592
1980 3 27 10514.9 79776.2 3888 3888 50379.5 6912 2592
1980 3 28 10514.9 79776.2 3888 3888 50379.5 6912 2592
1980 3 29 10514.9 79776.2 3888 3888 50379.5 6912 2592
1980 3 30 10514.9 79776.2 3888 3888 50379.5 6912 2592
1980 3 31 10514.9 79776.2 3888 3888 50379.5 6912 2592
1980 4 1 10409.2 80303.4 3888 3888 49868.1 6912 2592
1980 4 2 10409.2 80303.4 3888 3888 49868.1 6912 2592
1980 4 3 10409.2 80303.4 3888 3888 49868.1 6912 2592
1980 4 4 10409.2 80303.4 3888 3888 49868.1 6912 2592
1980 4 5 10409.2 80303.4 3888 3888 49868.1 6912 2592
1980 4 6 10409.2 80303.4 3888 3888 49868.1 6912 2592
1980 4 7 10409.2 80303.4 3888 3888 49868.1 6912 2592
1980 4 8 10409.2 80303.4 3888 3888 49868.1 6912 2592
1980 4 9 10409.2 80303.4 3888 3888 49868.1 6912 2592
1980 4 10 10409.2 80303.4 3888 3888 49868.1 6912 2592
1980 4 11 10409.2 80303.4 3888 3888 49868.1 6912 2592
1980 4 12 10409.2 80303.4 3888 3888 49868.1 6912 2592
1980 4 13 10409.2 80303.4 3888 3888 49868.1 6912 2592
1980 4 14 10409.2 80303.4 3888 3888 49868.1 6912 2592
1980 4 15 10409.2 80303.4 3888 3888 49868.1 6912 2592
1980 4 16 10409.2 80303.4 3888 3888 49868.1 6912 2592
1980 4 17 10409.2 80303.4 3888 3888 49868.1 6912 2592
1980 4 18 10409.2 80303.4 3888 3888 49868.1 6912 2592
1980 4 19 10409.2 80303.4 3888 3888 49868.1 6912 2592
1980 4 20 10409.2 80303.4 3888 3888 49868.1 6912 2592
1980 4 21 10409.2 80303.4 3888 3888 49868.1 6912 2592
1980 4 22 10409.2 80303.4 3888 3888 49868.1 6912 2592
1980 4 23 10409.2 80303.4 3888 3888 49868.1 6912 2592
1980 4 24 10409.2 80303.4 3888 3888 49868.1 6912 2592
1980 4 25 10409.2 80303.4 3888 3888 49868.1 6912 2592
1980 4 26 10409.2 80303.4 3888 3888 49868.1 6912 2592
1980 4 27 10409.2 80303.4 3888 3888 49868.1 6912 2592
1980 4 28 10409.2 80303.4 3888 3888 49868.1 6912 2592
1980 4 29 10409.2 80303.4 3888 3888 49868.1 6912 2592
1980 4 30 10409.2 80303.4 3888 3888 49868.1 6912 2592
1980 5 1 10645.1 78273.6 3888 3888 49965.6 6912 2592
1980 5 2 10645.1 78273.6 3888 3888 49965.6 6912 2592
1980 5 3 10645.1 78273.6 3888 3888 49965.6 6912 2592
1980 5 4 10645.1 78273.6 3888 3888 49965.6 6912 2592
1980 5 5 10645.1 78273.6 3888 3888 49965.6 6912 2592
1980 5 6 10645.1 78273.6 3888 3888 49965.6 6912 2592
1980 5 7 10645.1 78273.6 3888 3888 49965.6 6912 2592
1980 5 8 10645.1 78273.6 3888 3888 49965.6 6912 2592
1980 5 9 10645.1 78273.6 3888 3888 49965.6 6912 2592
1980 5 10 10645.1 78273.6 3888 3888 49965.6 6912 2592
1980 5 11 10645.1 78273.6 3888 3888 49965.6 6912 2592
1980 5 12 10645.1 78273.6 3888 3888 49965.6 6912 2592
1980 5 13 10645.1 78273.6 3888 3888 49965.6 6912 2592
1980 5 14 10645.1 78273.6 3888 3888 49965.6 6912 2592
1980 5 15 10645.1 78273.6 3888 3888 49965.6 6912 2592
1980 5 16 10645.1 78273.6 3888 3888 49965.6 6912 2592
1980 5 17 10645.1 78273.6 3888 3888 49965.6 6912 2592
1980 5 18 10645.1 78273.6 3888 3888 49965.6 6912 2592
1980 5 19 10645.1 78273.6 3888 3888 49965.6 6912 2592
1980 5 20 10645.1 78273.6 3888 3888 49965.6 6912 2592
1980 5 21 10645.1 78273.6 3888 3888 49965.6 6912 2592
1980 5 22 10645.1 78273.6 3888 3888 49965.6 6912 2592
1980 5 23 10645.1 78273.6 3888 3888 49965.6 6912 2592
1980 5 24 10645.1 78273.6 3888 3888 49965.6 6912 2592
1980 5 25 10645.1 78273.6 3888 3888 49965.6 6912 2592
1980 5 26 10645.1 78273.6 3888 3888 49965.6 6912 2592
1980 5 27 10645.1 78273.6 3888 3888 49965.6 6912 2592
1980 5 28 10645.1 78273.6 3888 3888 49965.6 6912 2592
1980 5 29 10645.1 78273.6 3888 3888 49965.6 6912 2592
