X1,Y1,X2,Y2,Nombre
4808950.0,2191450.0,4808650.0,2192850.0,Rio_La_Miel___PORH
4808956.91,2191472.36,4809343.9,2193646.34,tramoEstacion
4806333.33,2192832.52,4808871.54,2193538.21,tramoNoEstacion
